hosp_type_code,nabh_status,num_hospitals,total_claims,total_claimed_cr,total_approved_cr,total_deducted_cr,deduction_pct
M,N,129,1089167,816.65,622.09,194.56,23.82
N,N,338,2076061,1439.95,1138.81,301.13,20.91
H,N,8,689,6.76,5.49,1.27,18.81
0,N,118,720318,1877.91,1600.57,277.34,14.77
Unknown,N,500,329025,816.65,708.36,108.29,13.26
,N,252,590465,1726.09,1530.44,195.65,11.33
1,N,1578,9988656,22425.48,20345.11,2080.36,9.28
5,N,104,312049,116.04,107.42,8.62,7.42
1,Y,151,2934274,5473.61,5082.10,391.50,7.15
7,N,16,7000,30.50,28.59,1.91,6.26
3,N,221,268843,68.48,64.73,3.75,5.48
0,Y,2,67,0.03,0.03,0.00,4.76
L,N,1,149,0.03,0.03,0.00,4.31
5,Y,14,92477,42.39,40.60,1.79,4.22
3,Y,13,87410,24.82,23.82,0.99,4.00
2,N,491,1235572,1158.10,1114.61,43.49,3.75
4,N,12,5203,1.05,1.01,0.04,3.69
Unknown,Y,1,2049,0.14,0.13,0.00,3.28
2,Y,12,66270,37.95,37.03,0.92,2.43
G,N,39,39640,198.83,198.05,0.78,0.39
