HED_CAT_ID,claims_count,total_claimed,total_approved,total_deducted
0,341024,30435040347.00,0.00,30435040347.00
-1,502173,4953325286.00,0.00,4953325286.00
ICU,96867,3184600076.00,0.00,3184600076.00
GEN,132901,860953778.00,0.00,860953778.00
2,156189,762814255.00,0.00,762814255.00
SPR,47836,645535472.00,0.00,645535472.00
544,4128,347471081.00,0.00,347471081.00
512,43470,325612335.00,0.00,325612335.00
1198,2306,315225308.00,0.00,315225308.00
CN002,63731,226544747.00,0.00,226544747.00
CP001,2497,208392154.00,0.00,208392154.00
1264,1249,199294940.00,0.00,199294940.00
CC001,6000,170428332.00,0.00,170428332.00
or089,1209,165204806.00,0.00,165204806.00
1799,40354,145578720.00,0.00,145578720.00
,36308,140699967.00,0.00,140699967.00
CC002,14147,140267250.00,0.00,140267250.00
1507,42962,132803684.00,0.00,132803684.00
545,1646,124464353.00,0.00,124464353.00
592,74398,112605621.00,0.00,112605621.00
OP100,7967,108110839.00,0.00,108110839.00
1512,126180,106073323.00,0.00,106073323.00
RT011,626,105890512.00,0.00,105890512.00
1394,163562,89957448.00,0.00,89957448.00
601,8722,83091259.00,0.00,83091259.00
1513,135060,77333132.00,0.00,77333132.00
CN001,93333,76770887.00,0.00,76770887.00
LB123,72631,76323760.00,0.00,76323760.00
156,7103,76247934.00,0.00,76247934.00
838,12184,72774772.00,0.00,72774772.00
PRI,4067,71462819.00,0.00,71462819.00
1791,25760,66931291.00,0.00,66931291.00
LB012,98479,66249611.00,0.00,66249611.00
CC003,4468,63243049.00,0.00,63243049.00
1591,74463,62396213.00,0.00,62396213.00
LB120,16037,60595110.00,0.00,60595110.00
NU122,9640,59067096.00,0.00,59067096.00
LB124,77560,58920574.00,0.00,58920574.00
1,116347,56186013.00,0.00,56186013.00
513,13251,54192069.00,0.00,54192069.00
1856,204,53806650.00,0.00,53806650.00
1380,4483,51826186.00,0.00,51826186.00
RI001,38212,51616774.00,0.00,51616774.00
1608,97833,51308377.00,0.00,51308377.00
LB248,16361,50556633.00,0.00,50556633.00
CP002,718,49552737.00,0.00,49552737.00
CI016,5389,48921518.00,0.00,48921518.00
1643,9236,45140142.00,0.00,45140142.00
1431,1412,43415059.00,0.00,43415059.00
DP045,4110,42682500.00,0.00,42682500.00
